STT,Tiêu đề,Mô tả,Kết quả mong đợi,Phòng ban yêu cầu/test,Kiểu vấn đề,Mức ưu tiên,Bắt đầu,Hết hạn,trạng thái,Phân công,Chủ đề,Quá trình phát triển
47,Quản lý Hợp đồng_Chặn tạo 2 Hợp đồng cho cùng 1 Gói thầu,"1. Bấm [Thêm Hợp đồng].
  2. Chọn Gói thầu A (đã được liên kết với Hợp đồng HD2026/01 ở testcase trước).
  3. Nhấn [Lưu].",Hệ thống báo lỗi HTTP 400: 'Gói thầu này đã được ký kết với một hợp đồng khác'. Không cho tạo trùng.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Quản lý Hợp đồng,"- Tạo CheckExistingContract guard trong HopDongService.
 - Xử lý kiểm tra quan hệ 1-1 với gói thầu và chặn tạo hợp đồng trùng."
48,Quản lý Hợp đồng_Tạo Phụ lục hợp đồng (Điều chỉnh giá/thời gian),"1. Mở Hợp đồng HD2026/01 -> Chọn Tab 'Phụ lục hợp đồng'.
  2. Nhấn [Thêm Phụ lục].
  3. Nhập Tên phụ lục = 'Phụ lục 01 - Bổ sung thiết bị', Số tiền tăng = +200.000.000 VNĐ, Gia hạn ngày hết hạn.
  4. Nhấn [Lưu].",Tổng giá trị hợp đồng tự động cập nhật lên 2.000.000.000 VNĐ. Lưu chi tiết lịch sử phụ lục.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Quản lý Hợp đồng,"- Tạo PhuLucHopDong entity và controller.
 - Xử lý cộng dồn giá trị điều chỉnh và cập nhật thời gian hiệu lực hợp đồng."
49,Quản lý Hợp đồng_Quản lý Đợt thanh toán & Xác nhận Thanh toán,"1. Mở Hợp đồng -> Tab 'Tiến độ thanh toán'.
  2. Tạo Đợt 1: Tạm ứng 30% (600.000.000 VNĐ).
  3. Nhấn nút [Xác nhận thanh toán] (API `/pay`).","Trạng thái Đợt 1 chuyển sang 'Đã thanh toán'. Giá trị lũy kế thanh toán cập nhật 600 triệu, số tiền còn lại phải trả cập nhật chính xác.",KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Anh,Quản lý Hợp đồng,"- Tạo DotThanhToan entity và endpoint PayDotThanhToan.
 - Xử lý ghi nhận giải ngân, tính lũy kế thanh toán và số dư còn lại."
50,Quản lý Hợp đồng_Kiểm tra Thanh toán vượt giá trị Hợp đồng,"1. Hợp đồng có giá trị 2 tỷ, đã thanh toán 1.8 tỷ.
  2. Tạo đợt thanh toán mới 500 triệu (Tổng 2.3 tỷ > 2 tỷ).
  3. Nhấn xác nhận thanh toán.",Hệ thống báo lỗi: 'Tổng số tiền thanh toán không được vượt quá giá trị hợp đồng'.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Quản lý Hợp đồng,"- Tạo PaymentLimitValidator trong HopDongService.
 - Xử lý so sánh tổng lũy kế thanh toán với giá trị hợp đồng trước khi lưu."
51,Quản lý Hợp đồng_Phê duyệt Hợp đồng (Approve Workflow),"1. User có quyền Approve mở Hợp đồng ở trạng thái 'Bản nháp'.
  2. Nhấn nút [Phê duyệt Hợp đồng].",Trạng thái hợp đồng chuyển thành 'Đã phê duyệt' (Approved). Hợp đồng chính thức có hiệu lực.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Quản lý Hợp đồng,"- Tạo ApproveHopDong command và FeatureAuthorize check.
 - Xử lý kiểm tra quyền phê duyệt và chuyển trạng thái hợp đồng sang Approved."
52,Quản lý Hợp đồng_Người dùng không có quyền Approve phê duyệt Hợp đồng,"1. User không có quyền Approve (chỉ có quyền Create;Update) mở Hợp đồng.
  2. Quan sát nút Phê duyệt trên giao diện.",Nút [Phê duyệt] bị ẩn hoặc mờ (disabled). Nếu gửi API thủ công sẽ nhận lỗi 403 Forbidden.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Anh,Quản lý Hợp đồng,"- Tạo ApproveHopDong command và FeatureAuthorize check.
 - Xử lý kiểm tra quyền phê duyệt và chuyển trạng thái hợp đồng sang Approved."
53,Quản lý Hợp đồng_Quản lý Bảo lãnh hợp đồng & Cảnh báo hết hạn,"1. Nhập thông tin Thư bảo lãnh thực hiện hợp đồng: Số thư bảo lãnh, Ngân hàng phát hành, Ngày hết hạn = 30 ngày tới.
  2. Truy cập API/Màn hình Cảnh báo bảo lãnh.","Thư bảo lãnh hiển thị trong danh sách theo dõi. Khi sắp hết hạn, hệ thống đưa vào danh sách Cảnh báo bảo lãnh.",KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Quản lý Hợp đồng,"- Tạo BaoLanhHopDong entity và service.
 - Xử lý lưu thông tin thư bảo lãnh và lọc bảo lãnh hết hạn."
54,Quản lý Hợp đồng_Nhập dữ liệu Hợp đồng kỳ trước chuyển sang,"1. Vào chức năng Nhập hợp đồng kỳ trước chuyển sang.
  2. Nhập thông tin hợp đồng đã ký từ năm trước: Số hợp đồng, Giá trị ban đầu, Giá trị đã giải ngân kỳ trước, Số dư chuyển sang kỳ này.","Hệ thống lưu trữ chính xác số dư chuyển sang, phục vụ lập Báo cáo đầu tư và Báo cáo thanh toán kỳ này.",KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Quản lý Hợp đồng,"- Tạo Migration/Import Contract service.
 - Xử lý lưu giá trị ban đầu, lũy kế giải ngân và số dư chuyển kỳ."
55,Quản lý Đối tác_Tạo mới thông tin Nhà thầu/Đối tác,"1. Vào mục Quản lý Đối tác -> Chọn [Thêm mới].
  2. Nhập Mã số thuế (0101234567), Tên công ty = 'Công ty TNHH Giải pháp CNTT Coop', Địa chỉ, Số điện thoại, Email.
  3. Nhấn [Lưu].","Đối tác được tạo mới thành công, hiển thị trong danh sách lựa chọn khi lập Gói thầu/Hợp đồng.",KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Anh,Quản lý Đối tác,"- Tạo DoiTacsController và DoiTacService.
 - Xử lý validate mã số thuế duy nhất và tổng hợp lịch sử hợp đồng của đối tác."
56,Quản lý Đối tác_Check trùng Mã số thuế Đối tác,"1. Chọn [Thêm mới Đối tác].
  2. Nhập Mã số thuế đã tồn tại trong hệ thống (0101234567).
  3. Nhấn [Lưu].",Hệ thống hiển thị cảnh báo: 'Mã số thuế này đã tồn tại trên hệ thống'.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Quản lý Đối tác,"- Tạo DoiTacsController và DoiTacService.
 - Xử lý validate mã số thuế duy nhất và tổng hợp lịch sử hợp đồng của đối tác."
57,Quản lý Đối tác_Xem lịch sử trúng thầu & thực hiện hợp đồng của Đối tác,"1. Mở màn hình Chi tiết Đối tác A.
  2. Chuyển sang tab 'Lịch sử Hợp đồng'.",Hiển thị toàn bộ danh sách các gói thầu và hợp đồng mà Đối tác A đã/đang thực hiện trong ngân hàng.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Anh,Quản lý Đối tác,"- Tạo DoiTacsController và DoiTacService.
 - Xử lý validate mã số thuế duy nhất và tổng hợp lịch sử hợp đồng của đối tác."
58,Quản lý Nghị quyết_Tạo mới Nghị quyết và Tải lên file đính kèm,"1. Vào mục Nghị quyết / Quyết định -> Chọn [Tạo mới].
  2. Nhập Số quyết định (123/QĐ-CoopBank), Trích yếu nội dung, Ngày ban hành.
  3. Tải lên file đính kèm dạng PDF/DOCX.
  4. Chọn liên kết với Dự án X.
  5. Nhấn [Lưu].","Nghị quyết tạo thành công, file được lưu trữ và có thể bấm tải về / xem trước trực tiếp trên web.",KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Anh,Quản lý Nghị quyết & Quyết định,"- Tạo ResolutionsController và FileStorageService.
 - Xử lý upload/lưu file đính kèm nghị quyết và validate định dạng file an toàn."
59,Quản lý Nghị quyết_Tải file đính kèm sai định dạng không cho phép,"1. Chọn tải lên file đuôi `.exe` hoặc `.bat`.
  2. Bấm [Lưu].",Hệ thống từ chối tải file và báo lỗi định dạng file không an toàn.,KT4_TTCNTT,Test Case,Nomal,,,Open,Hoàng Long,Quản lý Nghị quyết & Quyết định,"- Tạo ResolutionsController và FileStorageService.
 - Xử lý upload/lưu file đính kèm nghị quyết và validate định dạng file an toàn."
60,Quản lý Giấy phép_Tạo mới License bản quyền thuộc Dự án,"1. Vào mục Quản lý Bản quyền -> Chọn [Thêm License].
  2. Nhập Tên bản quyền (Oracle Database Enterprise Edition), Số lượng = 10, Ngày mua, Ngày hết hạn = 31/12/2026, Gắn với Dự án X.
  3. Nhấn [Lưu].",Bản ghi License được khởi tạo thành công.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Quản lý Bản quyền Phần mềm,"- Tạo LicensesController và ExpiringLicenseService.
 - Xử lý lưu license bản quyền và query danh sách license sắp hết hạn theo số ngày."
61,Quản lý Giấy phép_Cảnh báo Giấy phép sắp hết hạn (Expiring Threshold),"1. Truy cập trang Cảnh báo bản quyền (API `/api/licenses/expiring?daysThreshold=30`).
  2. Kiểm tra danh sách bản quyền có Ngày hết hạn nằm trong vòng 30 ngày tới.",Hệ thống lọc và hiển thị chính xác các License sắp hết hạn để bộ phận CNTT kịp thời gia hạn.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Quản lý Bản quyền Phần mềm,"- Tạo LicensesController và ExpiringLicenseService.
 - Xử lý lưu license bản quyền và query danh sách license sắp hết hạn theo số ngày."
62,Hệ thống Cảnh báo_Cảnh báo Hợp đồng sắp hết hạn,1. Truy cập menu Cảnh báo -> Chọn 'Hợp đồng sắp hết hạn' (API `/api/warnings/contracts-expiring-soon`).,Hiển thị danh sách tất cả hợp đồng có Ngày hết hạn nằm trong khoảng thời gian cảnh báo cấu hình.,KT4_TTCNTT,Test Case,Nomal,,,Open,Hoàng Long,Hệ thống Cảnh báo & Thông báo,"- Tạo WarningsController và BackgroundJob/Hangfire service.
 - Xử lý quét dữ liệu định kỳ và tạo danh sách cảnh báo hợp đồng/dự toán."
63,Hệ thống Cảnh báo_Cảnh báo Hợp đồng vượt dự toán,1. Truy cập menu Cảnh báo -> Chọn 'Hợp đồng vượt dự toán' (API `/api/warnings/over-budget-contracts`).,Hiển thị các hợp đồng có tổng giá trị (bao gồm phụ lục) vượt quá giá trị gói thầu hoặc dự toán phê duyệt.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Hệ thống Cảnh báo & Thông báo,"- Tạo WarningsController và BackgroundJob/Hangfire service.
 - Xử lý quét dữ liệu định kỳ và tạo danh sách cảnh báo hợp đồng/dự toán."
64,Thông báo_Đánh dấu đã đọc Thông báo (Read / Read All),"1. Click Icon Chuông thông báo trên Header.
  2. Bấm chọn 1 thông báo chưa đọc -> Kiểm tra trạng thái đổi thành Đã đọc.
  3. Bấm nút [Đánh dấu tất cả đã đọc] (API `/read-all`).","Toàn bộ thông báo được cập nhật trạng thái đã đọc, Badge số lượng thông báo chưa đọc về 0.",KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Anh,Hệ thống Cảnh báo & Thông báo,"- Tạo NotificationController và SignalR NotificationHub.
 - Xử lý cập nhật trạng thái IsRead và duy trì kết nối realtime WebSocket."
65,Thông báo_Mất kết nối và Tự động Reconnect SignalR,"1. Đang mở ứng dụng web, thực hiện ngắt kết nối mạng 5 giây rồi bật lại.","Frontend hiển thị trạng thái 'Đang kết nối lại...', tự động reconnect SignalR Hub và không làm gián đoạn phiên làm việc.",KT4_TTCNTT,Test Case,Nomal,,,Open,Hoàng Long,Hệ thống Cảnh báo & Thông báo,"- Tạo NotificationController và SignalR NotificationHub.
 - Xử lý cập nhật trạng thái IsRead và duy trì kết nối realtime WebSocket."
66,Báo cáo Thống kê_Báo cáo Đầu tư theo Năm/Kỳ,"1. Vào mục Báo cáo -> Chọn 'Báo cáo Đầu tư'.
  2. Chọn Năm báo cáo = 2026, Kỳ = 1.
  3. Nhấn [Xem báo cáo].","Hệ thống tính toán và hiển thị bảng dữ liệu tổng hợp: Dự toán phê duyệt, Giá trị gói thầu, Giá trị hợp đồng, Số tiền đã giải ngân và Tỷ lệ giải ngân.",KT4_TTCNTT,Test Case,Nomal,,,Open,Hoàng Long,Báo cáo Thống kê,"- Tạo ReportsController và ExcelExportService.
 - Xử lý query dữ liệu tổng hợp đầu tư/tiến độ/thanh toán và xuất file Excel (.xlsx)."
67,Báo cáo Thống kê_Xuất Báo cáo Đầu tư ra file Excel (.xlsx),1. Tại trang Báo cáo Đầu tư -> Nhấn nút [Xuất Excel] (API `/api/report/investment/export?format=xlsx`).,Hệ thống xuất và tải xuống file Excel chứa đầy đủ dữ liệu báo cáo được định dạng bảng đẹp mắt.,KT4_TTCNTT,Test Case,Nomal,,,Open,Hoàng Long,Báo cáo Thống kê,"- Tạo ReportsController và ExcelExportService.
 - Xử lý query dữ liệu tổng hợp đầu tư/tiến độ/thanh toán và xuất file Excel (.xlsx)."
68,Báo cáo Thống kê_Xuất Báo cáo Tiến độ Công việc Gói thầu,"1. Chọn Báo cáo Công việc Gói thầu X.
  2. Nhấn nút [Xuất báo cáo].","Tải về file báo cáo thể hiện danh sách công việc, người phụ trách, tiến độ % và các công việc trễ hạn.",KT4_TTCNTT,Test Case,Nomal,,,Open,Hoàng Long,Báo cáo Thống kê,"- Tạo ReportsController và ExcelExportService.
 - Xử lý query dữ liệu tổng hợp đầu tư/tiến độ/thanh toán và xuất file Excel (.xlsx)."
69,Báo cáo Thống kê_Báo cáo Thanh toán Hợp đồng & Xuất file,1. Vào Báo cáo Thanh toán Hợp đồng -> Chọn khoảng thời gian -> Nhấn Xuất Excel.,Tải về file Excel chứa bảng tổng hợp chi tiết các đợt thanh toán của tất cả hợp đồng.,KT4_TTCNTT,Test Case,Nomal,,,Open,Đức Quang,Báo cáo Thống kê,"- Tạo ReportsController và ExcelExportService.
 - Xử lý query dữ liệu tổng hợp đầu tư/tiến độ/thanh toán và xuất file Excel (.xlsx)."
